排名,名字,导演,主演,年份,地区,评分,简介
88,穿条纹睡衣的男孩,马克·赫尔曼,阿萨·巴特菲尔德,2008,英国 美国,9.0,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
89,阳光灿烂的日子,姜文,夏雨,1994,中国大陆 香港,8.8,一场华丽的意淫。
90,玛丽和马克思,亚当·艾略特,托妮·科莱特,2009,澳大利亚,8.9,你是我最好的朋友，你是我唯一的朋友 。
91,第六感,M·奈特·沙马兰,布鲁斯·威利斯,1999,美国,8.8,深入内心的恐怖，出人意料的结局。
92,狩猎,托马斯·温特伯格,麦斯·米科尔森,2012,丹麦 瑞典,9.1,人言可畏。
93,重庆森林,王家卫,林青霞,1994,香港,8.7,寂寞没有期限。
94,致命ID,James,John,2003,美国,8.7,最不可能的那个人永远是最可能的。
95,断背山,李安,希斯·莱杰,2005,美国 加拿大,8.7,每个人心中都有一座断背山。
96,加勒比海盗,戈尔·维宾斯基,约翰尼·德普,2003,美国,8.7,约翰尼·德普的独角戏。
97,阿凡达,詹姆斯·卡梅隆,萨姆·沃辛顿,2009,美国 英国,8.6,绝对意义上的美轮美奂。
98,摩登时代,查理·卓别林,查理·卓别林,1936,美国,9.2,大时代中的人生，小人物的悲喜。
99,大鱼,蒂姆·波顿,伊万·麦克格雷格,2003,美国,8.8,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
100,告白,中岛哲也,松隆子,2010,日本,8.7,没有一人完全善，也没有一人完全恶。
101,一一,杨德昌,吴念真,2000,台湾 日本,9.0,我们都曾经是一一。
102,射雕英雄传之东成西就,刘镇伟,梁朝伟,1993,香港,8.7,百看不厌。 
103,阳光姐妹淘,姜炯哲,沈恩京,2011,韩国,8.8,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
104,消失的爱人,大卫·芬奇,本·阿弗莱克,2014,美国,8.7,年度最佳date movie。
105,甜蜜蜜,陈可辛,黎明,1996,香港,8.8,相逢只要一瞬间，等待却像是一辈子。
106,喜剧之王,周星驰,周星驰,1999,香港,8.6,我是一个演员。
107,爱在黎明破晓前,理查德·林克莱特,伊桑·霍克,1995,美国 奥地利 瑞士,8.8,缘分是个连绵词，最美不过一瞬。
108,小森林 夏秋篇,森淳一,桥本爱,2014,日本,8.9,那些静得只能听见呼吸的日子里，你明白孤独即生活。
109,侧耳倾听,近藤喜文,本名阳子,1995,日本,8.8,少女情怀总是诗。
110,上帝之城,Kátia,Alexandre,2002,巴西 法国,8.9,被上帝抛弃了的上帝之城。
111,恐怖直播,金秉祐,河正宇,2013,韩国,8.7,恐怖分子的“秋菊打官司”。
112,倩女幽魂,程小东,张国荣,1987,香港,8.7,两张绝世的脸。 
113,风之谷,宫崎骏,岛本须美,1984,日本,8.8,动画片的圣经。
114,红辣椒,今敏,林原惠美,2006,日本,8.9,梦的勾结。
115,超脱,托尼·凯耶,艾德里安·布洛迪,2011,美国,8.8,穷尽一生，我们要学会的，不过是彼此拥抱。
116,爱在日落黄昏时,理查德·林克莱特,伊桑·霍克,2004,美国,8.8,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
117,菊次郎的夏天,北野武,北野武,1999,日本,8.8,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
118,驯龙高手,迪恩·德布洛斯,匿名,2010,美国,8.7,和谐的生活离不开摸头与被摸头。
119,请以你的名字呼唤我,卢卡·圭达尼诺,蒂莫西·柴勒梅德,2017,意大利 法国 巴西 美国,8.8,沉醉在电影的情感和视听氛围中无法自拔。
120,幸福终点站,史蒂文·斯皮尔伯格,汤姆·汉克斯,2004,美国,8.7,有时候幸福需要等一等。 
121,哈利·波特与死亡圣器(下),大卫·叶茨,丹尼尔·雷德克里夫,2011,美国 英国,8.7,10年的完美句点。
122,杀人回忆,奉俊昊,宋康昊,2003,韩国,8.7,关于连环杀人悬案的集体回忆。
123,神偷奶爸,皮艾尔·柯芬,...,2010,美国 法国,8.5,Mr. I Don't Care其实也有Care的时候。
124,借东西的小人阿莉埃蒂,米林宏昌,志田未来,2010,日本,8.7,曾经的那段美好会沉淀为一辈子的记忆。
125,小森林 冬春篇,森淳一,桥本爱,2015,日本,9.0,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
126,七武士,黑泽明,三船敏郎,1954,日本,9.2,时代悲歌。
127,7号房的礼物,李焕庆,柳承龙,2013,韩国,8.8,《我是山姆》的《美丽人生》。
128,怪兽电力公司,彼特·道格特,约...,2001,美国,8.6,不要给它起名字，起了名字就有感情了。
129,岁月神偷,罗启锐,吴君如,2010,香港 中国大陆,8.6,岁月流逝，来日可追。
130,真爱至上,理查德·柯蒂斯,休·格兰特,2003,英国 美国 法国,8.5,爱，是个动词。
131,电锯惊魂,詹姆斯·温,雷·沃纳尔,2004,美国,8.7,真相就在眼前。
132,萤火之森,大森贵弘,佐仓绫音,2011,日本,8.8,触不到的恋人。
133,谍影重重3,保罗·格林格拉斯,马特·达蒙,2007,美国 德国,8.7,像吃了苏打饼一样干脆的电影。
134,萤火虫之墓,高畑勋,辰己努,1988,日本,8.7,幸福是生生不息，却难以触及的远。 
135,疯狂原始人,科克·德·米科,匿名,2013,美国,8.7,老少皆宜，这就是好莱坞动画的魅力。
136,唐伯虎点秋香,李力持,周星驰,1993,香港,8.5,华太师是黄霑，吴镇宇四大才子之一。
137,超能陆战队,唐·霍尔,斯科特...,2014,美国,8.6,Balalala~~~
138,蝙蝠侠：黑暗骑士崛起,克里斯托弗·诺兰,克里斯蒂安·贝尔,2012,美国 英国,8.6,诺兰就是保证。
139,东邪西毒,王家卫,张国荣,1994,香港 台湾,8.6,电影诗。
140,喜宴,李安,赵文瑄,1993,台湾 美国,8.9,中国家庭的喜怒哀乐忍。
141,贫民窟的百万富翁,丹尼·鲍尔,戴夫...,2008,英国 美国,8.5,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
142,记忆碎片,克里斯托弗·诺兰,盖·皮尔斯,2000,美国,8.6,一个针管引发的血案。
143,黑天鹅,达伦·阿罗诺夫斯基,娜塔莉·波特曼,2010,美国,8.5,黑暗之美。
144,英雄本色,吴宇森,周润发,1986,香港,8.6,英雄泪短，兄弟情长。 
145,心迷宫,忻钰坤,霍卫民,2014,中国大陆,8.7,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
146,无人知晓,是枝裕和,柳乐优弥,2004,日本,9.1,我的平常生活就是他人的幸福。
147,雨人,巴瑞·莱文森,达斯汀·霍夫曼,1988,美国,8.7,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
148,傲慢与偏见,乔·怀特,凯拉·奈特莉,2005,法国 英国 美国,8.5,爱是摈弃傲慢与偏见之后的曙光。
149,荒蛮故事,达米安·斯兹弗隆,达里奥·葛兰帝内提,2014,阿根廷 西班牙,8.8,始于荒诞，止于更荒诞。
150,血战钢锯岭,梅尔·吉布森,安德鲁·加菲尔德,2016,美国 澳大利亚,8.7,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
151,纵横四海,吴宇森,周润发,1991,香港,8.7,香港浪漫主义警匪动作片的巅峰之作。
152,卢旺达饭店,特瑞·乔治,唐·钱德尔,2004,英国 南非 意大利 美国,8.9,当这个世界闭上双眼，他却敞开了怀抱。
153,时空恋旅人,理查德·柯蒂斯,多姆纳尔·格里森,2013,英国,8.7,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
154,教父3,弗朗西斯·福特·科波拉,阿尔·帕西诺,1990,美国,8.8,任何信念的力量，都无法改变命运。
155,玩具总动员3,李·昂克里奇,汤姆·汉克斯,2010,美国,8.8,跨度十五年的欢乐与泪水。
156,海边的曼彻斯特,肯尼斯·罗纳根,卡西·阿弗莱克,2016,美国,8.6,我们都有权利不与自己的过去和解。
157,达拉斯买家俱乐部,让-马克·瓦雷,马修·麦康纳,2013,美国,8.7,Jared Leto的腿比女人还美！
158,花样年华,王家卫,梁朝伟,2000,香港,8.6,偷情本没有这样美。
159,完美的世界,克林特·伊斯特伍德,凯文·科斯特纳,1993,美国,9.0,坏人的好总是比好人的好来得更感人。
160,海洋,雅克·贝汉,匿名,2009,法国 瑞士 西班牙 美国 阿联酋,9.0,大海啊，不全是水。
161,虎口脱险,杰拉尔·乌里,路易·德·菲耐斯,1966,法国 英国,8.9,永远看不腻的喜剧。
162,恋恋笔记本,尼克·卡索维茨,瑞恩·高斯林,2004,美国,8.5,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
163,你看起来好像很好吃,藤森雅也,山口胜平,2010,日本,8.8,感情不分食草或者食肉。
164,燃情岁月,爱德华·兹威克,安东尼·霍普金斯,1994,美国,8.7,传奇，不是每个人都可以拥有。
165,二十二,郭柯,,2015,中国大陆,8.7,有一些东西不应该被遗忘。
166,雨中曲,Stanley,Gene,1952,美国,9.0,骨灰级歌舞片。
167,冰川时代,卡洛斯·沙尔丹哈,匿名,2002,美国,8.5,松鼠才是角儿。
168,我是山姆,杰茜·尼尔森,Sean,2001,美国,8.8,爱并不需要智商 。
169,头脑特工队,彼特·道格特,匿名,2015,美国,8.7,愿我们都不用长大，每一座城堡都能永远存在。
170,被解救的姜戈,昆汀·塔伦蒂诺,杰米·福克斯,2012,美国,8.6,热血沸腾，那个低俗、性感的无耻混蛋又来了。
171,穿越时空的少女,细田守,仲里依纱,2006,日本,8.6,爱上未来的你。 
172,魂断蓝桥,Mervyn,Vivien,1940,美国,8.8,中国式内在的美国电影。
173,人工智能,史蒂文·斯皮尔伯格,海利·乔·奥斯蒙,2001,美国,8.6,对爱的执着，可以超越一切。
174,猜火车,丹尼·博伊尔,伊万·麦克格雷格,1996,英国,8.5,不可猜的青春迷笛。 
175,无敌破坏王,瑞奇·莫尔,约翰·C·赖利,2012,美国,8.7,迪士尼和皮克斯拿错剧本的产物。
176,爆裂鼓手,达米安·沙泽勒,迈尔斯·特勒,2014,美国,8.6,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
177,你的名字。,新海诚,神木隆之介,2016,日本,8.4,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
178,未麻的部屋,今敏,岩男润子,1997,日本,8.9,好的剧本是，就算你猜到了结局也猜不到全部。
179,罗生门,黑泽明,三船敏郎,1950,日本,8.7,人生的N种可能性。
180,模仿游戏,莫滕·泰杜姆,本尼迪克特·康伯巴奇,2014,英国 美国,8.6,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
181,一个叫欧维的男人决定去死,汉内斯·赫尔姆,罗夫·拉斯加德,2015,瑞典,8.8,惠及一生的美丽。
182,房间,伦尼·阿伯拉罕森,布丽·拉尔森,2015,爱尔兰 加拿大 英国 美国,8.8,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
183,阿飞正传,王家卫,张国荣,1990,香港,8.5,王家卫是一种风格，张国荣是一个代表。
184,香水,汤姆·提克威,本·卫肖,2006,德国 法国 西班牙 美国,8.4,一个单凭体香达到高潮的男人。
185,浪潮,丹尼斯·甘塞尔,尤尔根·沃格尔,2008,德国,8.7,世界离独裁只有五天。
186,朗读者,史蒂芬·戴德利,凯特·温丝莱特,2008,美国 德国,8.5,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 
187,忠犬八公物语,Seijirô,山本圭,1987,日本,9.1,养狗三日，便会对你终其一生。
188,恐怖游轮,克里斯托弗·史密斯,梅利莎·乔治,2009,英国 澳大利亚,8.4,不要企图在重复中寻找已经失去的爱。
189,魔女宅急便,宫崎骏,高山南,1989,日本,8.5,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
190,完美陌生人,保罗·格诺维瑟,马可·贾利尼,2016,意大利,8.5,来啊，互相伤害啊！
191,可可西里,陆川,多布杰,2004,中国大陆 香港,8.7,坚硬的信仰。
192,哪吒闹海,严定宪,梁正晖,1979,中国大陆,8.9,想你时你在闹海。
193,战争之王,安德鲁·尼科尔,尼古拉斯·凯奇,2005,美国 法国,8.6,做一颗让别人需要你的棋子。
194,谍影重重,道格·里曼,马特·达蒙,2002,美国 德国 捷克,8.5,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
195,谍影重重2,保罗·格林格拉斯,马特·达蒙,2004,美国 德国,8.6,谁说王家卫镜头很晃？
196,地球上的星星,阿米尔·汗,达席尔·萨法瑞,2007,印度,8.9,天使保护事件始末。
197,牯岭街少年杀人事件,杨德昌,张震,1991,台湾,8.8,弱者送给弱者的一刀。
